configuration,project,class,round,killed_mutants,total_mutants,mutation_score_percent
output_60,110_firebird,org.firebirdsql.encodings.EncodingFactory,3,361,682,53
output_60,110_firebird,org.firebirdsql.encodings.EncodingFactory,4,348,682,51
output_60,110_firebird,org.firebirdsql.encodings.EncodingFactory,5,344,682,50
output_60,110_firebird,org.firebirdsql.encodings.EncodingFactory,6,360,682,53
output_60,110_firebird,org.firebirdsql.encodings.EncodingFactory,7,353,682,52
output_60,110_firebird,org.firebirdsql.encodings.EncodingFactory,8,359,682,53
output_60,110_firebird,org.firebirdsql.encodings.EncodingFactory,9,352,682,52
output_60,110_firebird,org.firebirdsql.encodings.EncodingFactory,10,366,682,54
output_60,12_dsachat,dsachat.server.Handler,1,149,492,30
output_60,12_dsachat,dsachat.server.Handler,2,146,492,30
output_60,12_dsachat,dsachat.server.Handler,3,146,492,30
output_60,12_dsachat,dsachat.server.Handler,4,146,492,30
output_60,12_dsachat,dsachat.server.Handler,5,146,492,30
output_60,12_dsachat,dsachat.server.Handler,6,149,492,30
output_60,12_dsachat,dsachat.server.Handler,7,146,492,30
output_60,12_dsachat,dsachat.server.Handler,8,146,492,30
output_60,12_dsachat,dsachat.server.Handler,9,149,492,30
output_60,12_dsachat,dsachat.server.Handler,10,146,492,30
output_60,12_dsachat,dsachat.client.gui.InternalChatFrame,1,15,421,4
output_60,12_dsachat,dsachat.client.gui.InternalChatFrame,2,15,421,4
output_60,12_dsachat,dsachat.client.gui.InternalChatFrame,3,15,421,4
output_60,12_dsachat,dsachat.client.gui.InternalChatFrame,4,15,421,4
output_60,12_dsachat,dsachat.client.gui.InternalChatFrame,5,15,421,4
output_60,12_dsachat,dsachat.client.gui.InternalChatFrame,6,15,421,4
output_60,12_dsachat,dsachat.client.gui.InternalChatFrame,7,15,421,4
output_60,12_dsachat,dsachat.client.gui.InternalChatFrame,8,15,421,4
output_60,12_dsachat,dsachat.client.gui.InternalChatFrame,9,15,421,4
output_60,12_dsachat,dsachat.client.gui.InternalChatFrame,10,15,421,4
